title,current_price,original_price,discount,seller_rating,seller,brand
Hp Elitebook 840 G5,"Rs. 103,000",,,No Ratings,M.finity,HP
DELL- CORE I5 7TH GEN ± 8GB RAM -256GB NVME SSD Laptop,"Rs. 104,999","Rs. 130,000",-19%,No Ratings,CS CENTER 2.0,Dell
CORE I5 7TH GEN (T470) Laptop 8GB RAM,"Rs. 104,999","Rs. 130,000",-19%,No Ratings,CS CENTER 2.0,Unspecified
HP 15DS Core i5 10 Generation Laptop,"Rs. 105,000",,,No Ratings,AFS LAPTOP STORE,HP
Dell Latitude E7470 i7 8th Gen 8GB Ram 256GB NVMe Laptop,"Rs. 105,500",,,No Ratings,Computer HUB,Dell
HP Elitebook 840 G6/Core i5 8th Gen/16GB Ram/512GB SSD 14 inch Full Touch Display Laptop,"Rs. 108,500","Rs. 145,000",-25%,No Ratings,Sanva Electronics,HP
Dell | Latitude 5420 | i5 11th GEN | 8GB-DDR4 | 256GB NVME | UHD Graphics | 14.6 inch | Used,"Rs. 109,500",,,No Ratings,NEW WINTEC (PVT) LTD,Dell
"Dell Latitude 5510 , i5 10th Gen Laptop, 16GB Ram 256GB SSD 15.6inch Laptop","Rs. 109,500",,,No Ratings,AcePro Trading Pvt Ltd,Dell
Hp Zbook 17 G5 i5 8th gen 64GB RAM 512GB SSD 17inch workstation,"Rs. 109,500",,,Ratings 2,AcePro Trading Pvt Ltd,HP
(REFURBISHED) HP Probook 830 G5 Laptop I5 7th Gen 8GB DDR4 256GB SSD,"Rs. 109,950",,,No Ratings,Lap Circle,HP
Used HP Elitebook 840 G6 Core i7 – 8th Gen Laptop FHD – IPS 16GB RAM 512GB SSD,"Rs. 109,990",,,No Ratings,Trendz Hub,HP
"HP Elitebook 830 G5/G6 Intel Core i5 8th Gen, 8GB Ram with 256Gb NVMe","Rs. 109,999",,,No Ratings,Tech Yard,HP
Dell Latitude 7480 Core i5 6th Gen 8gb RAM 256gb SSD Brand New Slim Laptop,"Rs. 110,000",,,No Ratings,Lushan enterprices,Dell
